,AAPL,MSFT,NVDA
01/06/2016,22.55758286,47.28049469,1.149266839
02/06/2016,22.3880558,46.94948196,1.157368779
03/06/2016,22.43387222,46.33220291,1.141164541
06/06/2016,22.59653854,46.6363678,1.135272145
07/06/2016,22.68818092,46.60953522,1.137481809
08/06/2016,22.66756248,46.5558548,1.133799314
09/06/2016,22.83022308,46.18011856,1.163261175
10/06/2016,22.64235878,46.05486679,1.13428998
13/06/2016,22.30099869,44.85608673,1.148775935
14/06/2016,22.32848358,44.57875061,1.150985241
15/06/2016,22.25517464,44.45350647,1.162770152
16/06/2016,22.34911156,45.07972336,1.167434931
17/06/2016,21.84049225,44.84713745,1.147057056
20/06/2016,21.78780556,44.79346466,1.167680383
21/06/2016,21.97337723,45.79543304,1.160560727
22/06/2016,21.89089775,45.61649704,1.159578323
23/06/2016,22.01690483,46.43954468,1.190513492
24/06/2016,21.39832115,44.57875061,1.12275064
27/06/2016,21.08674049,43.32629013,1.110720396
28/06/2016,21.44184875,44.22985077,1.126924753
29/06/2016,21.62742805,45.21393585,1.145338774
30/06/2016,21.90234756,45.77754974,1.154176831
01/07/2016,21.96879387,45.76859665,1.145583868
05/07/2016,21.76259804,45.77754974,1.162524819
06/07/2016,21.88631248,45.96541214,1.169890046
07/07/2016,21.9802475,45.96541214,1.200334311
08/07/2016,22.1497879,46.78845596,1.248455882
11/07/2016,22.21851349,47.04789734,1.277181268
12/07/2016,22.31932259,47.60256958,1.296331525
13/07/2016,22.19331932,47.87093353,1.295840621
14/07/2016,22.63319778,48.07670975,1.309098363
15/07/2016,22.63090515,48.04092026,1.29387629
18/07/2016,22.87145996,48.27351761,1.300505519
19/07/2016,22.88063049,47.49520493,1.314008951
20/07/2016,22.90124893,50.01802826,1.331194758
21/07/2016,22.77981758,49.91960907,1.306643128
22/07/2016,22.60341644,50.60846329,1.342243195
25/07/2016,22.30099869,50.75161743,1.367040396
26/07/2016,22.14749527,50.77844238,1.390364885
27/07/2016,23.58627129,50.26850891,1.376370192
28/07/2016,23.90472221,50.28639984,1.379316211
29/07/2016,23.87493896,50.70688248,1.401904106
01/08/2016,24.29649925,50.61741257,1.392819524
02/08/2016,23.93679428,50.61741257,1.375879288
